X2,Y2,Z2,x2,y2,z2,delta_x2,delta_y2,delta_z2,delta_xy2,delta_xyz2
-50,-40,130,-47.33,-38.07,138.4,2.67,1.93,8.4,3.294510586,9.022959603
-40,-40,130,-35.94,-37.36,138.23,4.06,2.64,8.23,4.8428504,9.549141323
-40,0,130,-39.22,-3.18,138.44,0.78,-3.18,8.44,3.274263276,9.052866949
-40,40,130,-40.63,45.63,125.74,-0.63,5.63,-4.26,5.66513901,7.088116816
-30,-30,130,-27.45,-29.73,136.5,2.55,0.27,6.5,2.564254278,6.987517442
-30,30,130,-31.63,30.54,128.66,-1.63,0.54,-1.34,1.717119681,2.178095498
-20,-20,130,-20.93,-21.14,136.48,-0.93,-1.14,6.48,1.47122398,6.644915349
-20,0,130,-20.74,-2.87,136.41,-0.74,-2.87,6.41,2.963865719,7.062053526
-20,20,130,-20.73,19.72,124.06,-0.73,-0.28,-5.94,0.781856764,5.991235265
-10,-10,130,-10.19,-13.26,135.32,-0.19,-3.26,5.32,3.265532116,6.242283236
-10,10,130,-12.45,6.4,132.54,-2.45,-3.6,2.54,4.354595274,5.041239927
0,-40,130,-2.36,-40.28,137.22,-2.36,-0.28,7.22,2.376552124,7.601078871
0,-20,130,-0.36,-22.97,139.46,-0.36,-2.97,9.46,2.991738625,9.921799232
0,0,130,-0.76,-3.66,134.66,-0.76,-3.66,4.66,3.738074371,5.974010378
0,20,130,-2.36,18.86,129.35,-2.36,-1.14,-0.65,2.62091587,2.700314796
0,40,130,-2.57,43.8,124.66,-2.57,3.8,-5.34,4.587472071,7.039921875
10,-10,130,9.08,-13.2,135.44,-0.92,-3.2,5.44,3.329624603,6.378087488
10,10,130,9.03,7.31,135.89,-0.97,-2.69,5.89,2.859545418,6.547449885
20,-20,130,18.58,-23.21,135.92,-1.42,-3.21,5.92,3.51005698,6.882361513
20,0,130,18.77,-2.62,137.64,-1.23,-2.62,7.64,2.894356578,8.1698776
20,20,130,19.79,18.08,126.75,-0.21,-1.92,-3.25,1.931450232,3.780608417
30,-30,130,28.92,-31.8,136.44,-1.08,-1.8,6.44,2.099142682,6.773477689
30,30,130,33.98,30.24,126.88,3.98,0.24,-3.12,3.987229615,5.06284505
40,-40,130,39.49,-41.42,136.95,-0.51,-1.42,6.95,1.508807476,7.11189145
40,0,130,38.45,-3.55,138.44,-1.55,-3.55,8.44,3.87362879,9.286474035
40,40,130,45.85,42.78,125.44,5.85,2.78,-4.56,6.476951443,7.921142594
