X2,Y2,Z2,x2,y2,z2,delta_x2,delta_y2,delta_z2,delta_xy2,delta_xyz2
-20,-60,130,-18.55368239,-60.38614966,131.674528,1.446317611,-0.386149657,1.674528006,1.496979021,2.24610557
-70,-50,130,-68.70984216,-51.55611987,128.7262725,1.290157843,-1.55611987,-1.273727515,2.021389697,2.389225416
-40,-20,130,-39.29527219,-18.06325907,128.7211766,0.704727811,1.936740928,-1.278823375,2.060972273,2.425488804
-40,30,130,-37.82601374,31.15943843,130.1934437,2.173986257,1.159438435,0.193443696,2.463841255,2.471423516
-10,40,130,-10.98590076,38.00206166,128.8858055,-0.98590076,-1.997938336,-1.11419448,2.22794926,2.491021325
20,-60,130,17.71054731,-60.52611591,129.0889389,-2.28945269,-0.526115912,-0.911061111,2.349125703,2.51960789
-50,10,130,-51.34479721,8.107754407,129.017906,-1.344797214,-1.892245593,-0.982093954,2.321437686,2.520631164
50,10,130,47.44247616,10.56902659,130.024951,-2.557523844,0.569026587,0.024951021,2.620060966,2.620179769
-60,70,130,-61.10428946,67.9677256,128.6795053,-1.104289462,-2.032274402,-1.32049473,2.312919034,2.663325138
-20,-40,130,-22.42737905,-40.7937341,128.9783141,-2.427379049,-0.7937341,-1.021685922,2.55385647,2.750640833
20,-20,130,17.82049666,-21.15192511,128.6700079,-2.179503336,-1.151925115,-1.329992121,2.465190918,2.801079311
-60,0,130,-60.53846553,1.968973049,127.9490497,-0.538465527,1.968973049,-2.050950322,2.04127411,2.893647736
0,30,130,-1.761931439,30.74752348,132.2437739,-1.761931439,0.747523481,2.243773879,1.913947165,2.949188866
20,70,130,18.58245647,67.64539682,131.118102,-1.417543532,-2.354603182,1.11810197,2.74837876,2.967109338
-40,-70,130,-41.0436278,-68.05423267,127.943041,-1.0436278,1.945767327,-2.056958955,2.207978595,3.017656312
10,-40,130,11.47836142,-38.12294847,128.0530523,1.478361424,1.877051527,-1.946947736,2.389325205,3.082122714
-30,-20,130,-27.9132093,-18.00473331,128.7215186,2.086790703,1.995266688,-1.278481386,2.887175886,3.157578067
70,0,130,68.35828471,1.940501821,128.1071681,-1.641715293,1.940501821,-1.89283189,2.54180574,3.169162189
-70,40,130,-69.42642704,37.5750698,132.0907385,0.57357296,-2.424930196,2.090738459,2.491841166,3.252761857
-50,70,130,-51.63273449,72.24189801,131.7282018,-1.632734489,2.24189801,1.728201804,2.773432638,3.267814266
-30,-30,130,-27.86332594,-31.66716534,128.0577766,2.136674056,-1.66716534,-1.942223351,2.710132154,3.334223723
-60,-20,130,-59.43985656,-16.78249337,129.1748121,0.560143445,3.217506628,-0.825187854,3.265901036,3.368537453
20,-50,130,18.4559923,-51.27690744,132.7373451,-1.544007697,-1.27690744,2.737345059,2.003609837,3.392272151
-40,0,130,-42.20956726,-2.600261498,129.7008326,-2.20956726,-2.600261498,-0.299167368,3.412264253,3.42535377
-10,70,130,-7.738763848,67.61147177,129.0402225,2.261236152,-2.388528226,-0.959777477,3.289111737,3.426284989
0,50,130,2.057581673,52.75474093,130.2905747,2.057581673,2.754740928,0.290574674,3.438348429,3.450604811
10,-30,130,12.86683112,-29.53513245,131.906607,2.866831115,0.464867554,1.906607005,2.904276586,3.474186633
-60,40,130,-56.6204617,40.45787732,129.1121551,3.379538296,0.457877316,-0.887844868,3.410415038,3.524088427
30,-70,130,28.80171828,-70.9657825,126.7243448,-1.198281719,-0.9657825,-3.275655193,1.539030512,3.619189392
70,-70,130,70.85795087,-66.73045478,128.6901185,0.857950869,3.269545218,-1.309881535,3.38023751,3.625161412
70,10,130,72.64956268,12.2834387,131.3085649,2.649562679,2.2834387,1.308564857,3.497752805,3.734516926
20,20,130,21.63240475,23.31094315,130.7290031,1.632404745,3.310943147,0.729003118,3.691488829,3.762782923
60,50,130,63.10347649,51.37961064,128.238773,3.103476493,1.379610639,-1.76122696,3.396305619,3.825808707
0,-70,130,3.028424406,-68.99501785,132.140608,3.028424406,1.004982152,2.140608009,3.19082176,3.842336028
-50,0,130,-51.25210087,3.11013702,128.0574632,-1.252100871,3.11013702,-1.942536763,3.352716641,3.874810698
0,60,130,-0.829549904,57.41094503,127.020474,-0.829549904,-2.589054967,-2.979525985,2.718705329,4.033476635
0,-10,130,2.788824375,-8.25099336,132.3533194,2.788824375,1.74900664,2.353319412,3.291893926,4.046563712
60,10,130,62.23262759,10.47290873,133.3551509,2.232627586,0.47290873,3.355150856,2.282163142,4.057746403
70,30,130,73.01165279,32.71397031,130.2325588,3.011652786,2.713970314,0.232558768,4.054095135,4.060759898
-70,50,130,-72.38623625,52.70240276,128.0858229,-2.386236253,2.702402756,-1.914177097,3.605149666,4.081810637
-20,60,130,-22.97228766,62.42907713,128.5709948,-2.972287665,2.429077128,-1.429005248,3.838607776,4.09596944
30,-10,130,29.34568394,-9.647738532,134.0327655,-0.654316064,0.352261468,4.032765499,0.743113486,4.10066034
40,60,130,39.56824756,63.34176912,127.4546494,-0.431752443,3.341769116,-2.54535058,3.369544628,4.222871129
60,0,130,59.62453778,3.897010956,128.3234158,-0.375462218,3.897010956,-1.676584213,3.915056355,4.258943636
30,-30,130,27.94330915,-32.20086178,126.9722618,-2.056690854,-2.200861778,-3.027738187,3.012269881,4.270944669
50,20,130,50.04260471,17.3427349,133.4102454,0.042604714,-2.657265098,3.410245379,2.657606623,4.323499336
50,-70,130,50.82107683,-67.64340527,126.1546898,0.821076834,2.356594731,-3.845310232,2.495537196,4.584115692
-50,-20,130,-52.03523708,-20.47843807,134.0818793,-2.035237083,-0.47843807,4.081879267,2.090715899,4.586156487
-20,-20,130,-16.14748245,-21.94620405,131.568239,3.85251755,-1.946204051,1.568239033,4.316202229,4.59227344
-70,-10,130,-67.58566214,-7.165467003,127.2938728,2.414337862,2.834532997,-2.706127177,3.723386177,4.602904401
-60,-40,130,-61.88588539,-36.88266305,132.9755003,-1.88588539,3.117336954,2.975500345,3.643398604,4.704036107
60,-50,130,59.85997493,-46.62704294,126.7100386,-0.140025073,3.372957056,-3.28996135,3.375862308,4.713840473
20,50,130,23.83887355,47.777586,131.602133,3.838873552,-2.222413999,1.602133029,4.435772101,4.716238371
-70,20,130,-65.56211603,19.03618897,131.6332546,4.437883971,-0.963811026,1.633254617,4.54133745,4.826102618
30,30,130,34.42446918,31.25180906,131.4661078,4.424469178,1.251809061,1.466107784,4.598146739,4.826222692
40,-70,130,42.200062,-72.03265289,133.8949207,2.200061998,-2.032652894,3.894920685,2.995321449,4.913487328
-30,-70,130,-26.15740529,-69.76095152,133.1241882,3.84259471,0.239048477,3.124188171,3.850023153,4.95814784
-10,10,130,-8.841847255,14.40923026,132.0047402,1.158152745,4.409230259,2.004740184,4.55879691,4.980121732
